5451;QUITATE TU PA PONERME YO;12 DISCIPULOS;REGGAETON
4775;HERE WITHOUT YOU;3 DOORS DOWN;BALADA INGLES
5652;A BEAUTIFUL LIE;30 SECONDS TO MARS;ROCK
5674;FROM YESTERDAY;30 SECONDS TO MARS;ROCK
5697;THIS IS WAR;30 SECONDS TO MARS;ROCK
5443;PORQUE EL AMOR MANDA;3BALL;TRIBAL
5026;INTENTALO;3BALL MTY;TRIBAL
1639;TAKE ON ME;A HA;POP
4327;LOLA SOLEDAD;A SANZ & J SABINA;BALADA
1009;EN EL JARDIN;A. FERNANDEZ & G. ESTEFAN;RANCHERA
1505;DOS CORAZONES DOS HISTORIAS;A. FERNANDEZ & R. CARLOS;BALADA
51;CHIQUITITA;ABBA;BALADA
130;FERNANDO;ABBA;BALADA INGLES
3697;THE WINNER TAKES IT ALL;ABBA;BALADA INGLES
4206;DANCING QUEEN;ABBA;BALADA INGLES
4874;GIMME GIMME GIMME;ABBA;BALADA INGLES
5415;LAY ALL YOUR LOVE ON ME;ABBA;DISCO
5975;KNOWING ME KNOWING YOU;ABBA;BALADA INGLES
5991;TAKE A CHANCE ON ME;ABBA;POP
6000;VOULEZ VOUS;ABBA;POP
4788;POR UNA GOTA DE TU VOZ;ABEL PINTOS;BALADA
5828;LA LLAVE;ABEL PINTOS;BALADA
5954;AVENTURA;ABEL PINTOS;BALADA
5955;BAILANDO CON TU SOMBRA;ABEL PINTOS;BALADA
5993;TODO ESTA EN VOS;ABEL PINTOS;BALADA
6434;SIN PRINCIPIO NI FINAL;ABEL PINTOS;BALADA
6443;TANTO AMOR;ABEL PINTOS;BALADA
6224;EL PADRE QUE SIEMPRE SO�E;ABEL ZABALA;BALADA
6237;ENAMORAME;ABEL ZABALA;CRISTIANA
7172;EL PADRE QUE SIEMPRE SO�E;ABEL ZABALA;BALADA  GOSPEL
7175;ENAMORAME;ABEL ZABALA;BALADA  GOSPEL
1242;ENAMORAME;ABEL ZAVALA;MERENGUE
7359;LOCO ENAMORADO;ABRAHAM MATEO, FARRUKO CHRISTIAN DANIEL;REGUETON
377;ALL THAT SHE WANTS;ACE OF BASE;DISCO
